S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
175,PHULPUR(51),PHULPUR,Uttar Pradesh,PRAVEEN PATEL,452600,4332,S2451,369
165,PILIBHIT(26),PILIBHIT,Uttar Pradesh,JITIN PRASADA,607158,164935,S2426,369
17,POLLACHI(21),POLLACHI,Tamil Nadu,ESWARASAMY K,533377,252042,S2221,582
2,PONNANI(7),PONNANI,Kerala,DR. M.P ABDUSSAMAD SAMADANI,562516,235760,S117,772
37,PORBANDAR(11),PORBANDAR,Gujarat,DR. MANSUKH MANDAVIYA,633118,383360,S0611,369
15,PRATAPGARH(39),PRATAPGARH,Uttar Pradesh,SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206,S2439,1680
99,PUDUCHERRY(1),PUDUCHERRY,Puducherry,VE VAITHILINGAM,426005,136516,U071,742
115,PUNE(34),PUNE,Maharashtra,MURLIDHAR MOHOL,584728,123038,S1334,369
134,PURI(17),PURI,Odisha,SAMBIT PATRA,629330,104709,S1817,369
1,PURNIA(12),PURNIA,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,S0412,743
197,PURULIA(35),PURULIA,West Bengal,JYOTIRMAY SINGH MAHATO,578489,17079,S2535,369
16,PURVICHAMPARAN(3),PURVICHAMPARAN,Bihar,RADHA MOHAN SINGH,542193,88287,S043,369
81,RAEBARELI(36),RAEBARELI,Uttar Pradesh,RAHUL GANDHI,687649,390030,S2436,742
16,RAICHUR(6),RAICHUR,Karnataka,G. KUMAR NAIK.,670966,79781,S106,742
1,RAIGAD(32),RAIGAD,Maharashtra,TATKARE SUNIL DATTATREY,508352,82784,S1332,1142
190,RAIGANJ(5),RAIGANJ,West Bengal,KARTICK CHANDRA PAUL,560897,68197,S255,369
200,RAIGARH(2),RAIGARH,Chhattisgarh,RADHESHYAM RATHIYA,808275,240391,S262,369
