S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
222,ADILABAD(1),ADILABAD,Telangana,GODAM NAGESH,568168,90652,S291,369
162,AGRA(18),AGRA,Uttar Pradesh,PROF S P SINGH BAGHEL,599397,271294,S2418,369
33,AHMEDABADEAST(7),AHMEDABADEAST,Gujarat,HASMUKHBHAI PATEL (H.S.PATEL),770459,461755,S067,369
34,AHMEDABADWEST(8),AHMEDABADWEST,Gujarat,DINESHBHAI MAKWANA (ADVOCATE),611704,286437,S068,369
6,AHMEDNAGAR(37),AHMEDNAGAR,Maharashtra,NILESH DNYANDEV LANKE,624797,28929,S1337,3620
142,AJMER(13),AJMER,Rajasthan,BHAGIRATH CHOUDHARY,747462,329991,S2013,369
173,AKBARPUR(44),AKBARPUR,Uttar Pradesh,DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345,S2444,369
111,AKOLA(6),AKOLA,Maharashtra,ANUP SANJAY DHOTRE,457030,40626,S136,369
32,ALAPPUZHA(15),ALAPPUZHA,Kerala,K. C VENUGOPAL,404560,63513,S1115,742
1,ALATHUR(9),ALATHUR,Kerala,K.RADHAKRISHNAN,403447,20111,S119,547
159,ALIGARH(15),ALIGARH,Uttar Pradesh,SATISH KUMAR GAUTAM,501834,15647,S2415,369
187,ALIPURDUARS(2),ALIPURDUARS,West Bengal,MANOJ TIGGA,695314,75447,S252,369
83,ALLAHABAD(52),ALLAHABAD,Uttar Pradesh,UJJWAL RAMAN SINGH,462145,58795,S2452,742
219,ALMORA(3),ALMORA,Uttarakhand,AJAY TAMTA,429167,234097,S283,369
141,ALWAR(8),ALWAR,Rajasthan,BHUPENDER YADAV,631992,48282,S208,369
4,AMALAPURAM(SC)(7),AMALAPURAM(SC),Andhra Pradesh,G M HARISH (BALAYOGI),796981,342196,S017,1745
9,AMBALA(1),AMBALA,Haryana,VARUN CHAUDHRY,663657,49036,S071,742
24,AMBEDKARNAGAR(55),AMBEDKARNAGAR,Uttar Pradesh,LALJI VERMA,544959,137247,S2455,1680
82,AMETHI(37),AMETHI,Uttar Pradesh,KISHORI LAL,539228,167196,S2437,742
39,AMRAVATI(7),AMRAVATI,Maharashtra,BALWANT BASWANT WANKHADE,526271,19731,S137,742
40,AMRELI(14),AMRELI,Gujarat,BHARATBHAI MANUBHAI SUTARIYA,580872,321068,S0614,369
56,AMRITSAR(2),AMRITSAR,Punjab,GURJEET SINGH AUJLA,255181,40301,S192,742
154,AMROHA(9),AMROHA,Uttar Pradesh,KANWAR SINGH TANWAR,476506,28670,S249,369
1,ANAKAPALLE(5),ANAKAPALLE,Andhra Pradesh,C.M.RAMESH,762069,296530,S015,369
42,ANAND(16),ANAND,Gujarat,MITESH PATEL (BAKABHAI),612484,89939,S0616,369
2,ANANDPURSAHIB(6),ANANDPURSAHIB,Punjab,MALVINDER SINGH KANG,313217,10846,S196,1
13,ANANTHAPUR(19),ANANTHAPUR,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,S0119,1745
2,ANANTNAG-RAJOURI(3),ANANTNAG-RAJOURI,Jammu and Kashmir,MIAN ALTAF AHMAD,521836,281794,U083,834
230,ANDAMAN&NICOBARISLANDS(1),ANDAMAN&NICOBARISLANDS,Andaman & Nicobar Islands,BISHNU PADA RAY,102436,24396,U011,369
10,AONLA(24),AONLA,Uttar Pradesh,NEERAJ MAURYA,492515,15969,S2424,1680
6,ARAKKONAM(7),ARAKKONAM,Tamil Nadu,S JAGATHRATCHAKAN,563216,306559,S227,582
1,ARAKU(ST)(1),ARAKU(ST),Andhra Pradesh,GUMMA THANUJA RANI,477005,50580,S011,1888
20,ARAMBAGH(29),ARAMBAGH,West Bengal,BAG MITALI,712587,6399,S2529,140
10,ARANI(12),ARANI,Tamil Nadu,THARANIVENTHAN M S,500099,208766,S2212,582
18,ARARIA(9),ARARIA,Bihar,PRADEEP KUMAR SINGH,600146,20094,S049,369
1,ARRAH(32),ARRAH,Bihar,SUDAMA PRASAD,529382,59808,S0432,545
5,ARUNACHALEAST(2),ARUNACHALEAST,Arunachal Pradesh,TAPIR GAO,145581,30421,S022,369
4,ARUNACHALWEST(1),ARUNACHALWEST,Arunachal Pradesh,KIREN RIJIJU,205417,100738,S021,369
27,ASANSOL(40),ASANSOL,West Bengal,SHATRUGHAN PRASAD SINHA,605645,59564,S2540,140
136,ASKA(19),ASKA,Odisha,ANITA SUBHADARSHINI,494226,99974,S1819,369
35,ATTINGAL(19),ATTINGAL,Kerala,ADV ADOOR PRAKASH,328051,684,S1119,742
4,AURANGABAD(37),AURANGABAD,Maharashtra,ABHAY KUMAR SINHA,465567,79111,S0437,1420
2,AURANGABAD(19),AURANGABAD,Maharashtra,BHUMARE SANDIPANRAO ASARAM,476130,134650,S1319,3529
29,AZAMGARH(69),AZAMGARH,Uttar Pradesh,DHARMENDRA YADAV,508239,161035,S2469,1680
9,BADAUN(23),BADAUN,Uttar Pradesh,ADITYA YADAV,501855,34991,S2423,1680
63,BAGALKOT(3),BAGALKOT,Karnataka,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,S103,369
2,BAGHPAT(11),BAGHPAT,Uttar Pradesh,DR RAJKUMAR SANGWAN,488967,159459,S2411,1458
176,BAHARAICH(56),BAHARAICH,Uttar Pradesh,ANAND KUMAR,518802,64227,S2456,369
3,BAHARAMPUR(10),BAHARAMPUR,West Bengal,PATHAN YUSUF,524516,85022,S2510,140
94,BALAGHAT(15),BALAGHAT,Madhya Pradesh,BHARTI PARDHI,712660,174512,S1215,369
123,BALASORE(6),BALASORE,Odisha,PRATAP CHANDRA SARANGI,563865,147156,S186,369
32,BALLIA(72),BALLIA,Uttar Pradesh,SANATAN PANDEY,467068,43384,S2472,1680
191,BALURGHAT(6),BALURGHAT,West Bengal,SUKANTA MAJUMDAR,574996,10386,S256,369
8,BANASKANTHA(2),BANASKANTHA,Gujarat,GENIBEN NAGAJI THAKOR,671883,30406,S062,742
20,BANDA(48),BANDA,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,406567,71210,S2448,1680
76,BANGALORECENTRAL(25),BANGALORECENTRAL,Karnataka,P C MOHAN,658915,32707,S1025,369
75,BANGALORENORTH(24),BANGALORENORTH,Karnataka,SHOBHA KARANDLAJE,986049,259476,S1024,369
74,BANGALORERURAL(23),BANGALORERURAL,Karnataka,DR C N MANJUNATH,1079002,269647,S1023,369
77,BANGALORESOUTH(26),BANGALORESOUTH,Karnataka,TEJASVI SURYA,750830,277083,S1026,369
194,BANGAON(14),BANGAON,West Bengal,SHANTANU THAKUR,719505,73693,S2514,369
10,BANKA(27),BANKA,Bihar,GIRIDHARI YADAV,506678,103844,S0427,805
24,BANKURA(36),BANKURA,West Bengal,ARUP CHAKRABORTY,641813,32778,S2536,140
184,BANSGAON(67),BANSGAON,Uttar Pradesh,KAMLESH PASWAN,428693,3150,S2467,369
1,BANSWARA(20),BANSWARA,Rajasthan,RAJ KUMAR ROAT,820831,247054,S2020,3482
9,BAPATLA(SC)(15),BAPATLA(SC),Andhra Pradesh,KRISHNA PRASAD TENNETI,717493,208031,S0115,1745
84,BARABANKI(53),BARABANKI,Uttar Pradesh,TANUJ PUNIA,719927,215704,S2453,742
4,BARAMATI(35),BARAMATI,Maharashtra,SUPRIYA SULE,732312,158333,S1335,3620
6,BARAMULLA(1),BARAMULLA,Jammu and Kashmir,ABDUL RASHID SHEIKH,472481,204142,U081,743
8,BARASAT(17),BARASAT,West Bengal,KAKOLI GHOSH DASTIDAR,692010,114189,S2517,140
26,BARDHAMAN-DURGAPUR(39),BARDHAMAN-DURGAPUR,West Bengal,AZAD KIRTI JHA,720667,137981,S2539,140
25,BARDHAMANPURBA(38),BARDHAMANPURBA,West Bengal,DR. SHARMILA SARKAR,720302,160572,S2538,140
49,BARDOLI(23),BARDOLI,Gujarat,PARBHUBHAI NAGARBHAI VASAVA,763950,230253,S0623,369
164,BAREILLY(25),BAREILLY,Uttar Pradesh,CHHATRA PAL SINGH GANGWAR,567127,34804,S2425,369
118,BARGARH(1),BARGARH,Odisha,PRADEEP PUROHIT,716359,251667,S181,369
69,BARMER(17),BARMER,Rajasthan,UMMEDA RAM BENIWAL,704676,118176,S2017,742
1,BARPETA(3),BARPETA,Assam,PHANI BHUSAN CHOUDHURY,860113,222351,S033,83
6,BARRACKPUR(15),BARRACKPUR,West Bengal,PARTHA BHOWMICK,520231,64438,S2515,140
9,BASIRHAT(18),BASIRHAT,West Bengal,SK NURUL ISLAM,803762,333547,S2518,140
207,BASTAR(10),BASTAR,Chhattisgarh,MAHESH KASHYAP,458398,55245,S2610,369
26,BASTI(61),BASTI,Uttar Pradesh,RAM PRASAD CHAUDHARY,527005,100994,S2461,1680
1,BATHINDA(11),BATHINDA,Punjab,HARSIMRAT KAUR BADAL,376558,49656,S1911,1584
7,BEED(39),BEED,Maharashtra,BAJRANG MANOHAR SONWANE,683950,6553,S1339,3620
24,BEGUSARAI(24),BEGUSARAI,Bihar,GIRIRAJ SINGH,649331,81480,S0424,369
62,BELGAUM(2),BELGAUM,Karnataka,JAGADISH SHETTAR,762029,178437,S102,369
19,BELLARY(9),BELLARY,Karnataka,E. TUKARAM,730845,98992,S109,742
137,BERHAMPUR(20),BERHAMPUR,Odisha,DR. PRADEEP KUMAR PANIGRAHY,513102,165476,S1820,369
108,BETUL(29),BETUL,Madhya Pradesh,DURGADAS (D. D.) UIKEY,848236,379761,S1229,369
186,BHADOHI(78),BHADOHI,Uttar Pradesh,DR. VINOD KUMAR BIND,459982,44072,S2478,369
124,BHADRAK(7),BHADRAK,Odisha,AVIMANYU SETHI,573319,91544,S187,369
9,BHAGALPUR(26),BHAGALPUR,Bihar,AJAY KUMAR MANDAL,536031,104868,S0426,805
41,BHANDARAGONDIYA(11),BHANDARAGONDIYA,Maharashtra,DR. PRASHANT YADAORAO PADOLE,587413,37380,S1311,742
65,BHARATPUR(9),BHARATPUR,Rajasthan,SANJNA JATAV,579890,51983,S209,742
48,BHARUCH(22),BHARUCH,Gujarat,MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696,S0622,369
41,BHAVNAGAR(15),BHAVNAGAR,Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289,S0615,369
149,BHILWARA(23),BHILWARA,Rajasthan,DAMODAR AGARWAL,807640,354606,S2023,369
81,BHIND(2),BHIND,Madhya Pradesh,SANDHYA RAY,537065,64840,S122,369
3,BHIWANDI(23),BHIWANDI,Maharashtra,BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121,S1323,3620
55,BHIWANI-MAHENDRAGARH(8),BHIWANI-MAHENDRAGARH,Haryana,DHARAMBIR SINGH,588664,41510,S078,369
93,BHONGIR(14),BHONGIR,Telangana,CHAMALA KIRAN KUMAR REDDY,629143,222170,S2914,742
98,BHOPAL(19),BHOPAL,Madhya Pradesh,ALOK SHARMA,981109,501499,S1219,369
135,BHUBANESWAR(18),BHUBANESWAR,Odisha,APARAJITA SARANGI,512519,35152,S1818,369
17,BIDAR(7),BIDAR,Karnataka,SAGAR ESHWAR KHANDRE,666317,128875,S107,742
64,BIJAPUR(4),BIJAPUR,Karnataka,RAMESH JIGAJINAGI,672781,77229,S104,369
1,BIJNOR(4),BIJNOR,Uttar Pradesh,CHANDAN CHAUHAN,404493,37508,S244,1458
138,BIKANER(2),BIKANER,Rajasthan,ARJUN RAM MEGHWAL,566737,55711,S202,369
202,BILASPUR(5),BILASPUR,Chhattisgarh,TOKHAN SAHU,724937,164558,S265,369
29,BIRBHUM(42),BIRBHUM,West Bengal,SATABDI ROY,717961,197650,S2542,140
198,BISHNUPUR(37),BISHNUPUR,West Bengal,KHAN SAUMITRA,680130,5567,S2537,369
127,BOLANGIR(10),BOLANGIR,Odisha,SANGEETA KUMARI SINGH DEO,617744,132664,S1810,369
28,BOLPUR(41),BOLPUR,West Bengal,ASIT KUMAR MAL,855633,327253,S2541,140
158,BULANDSHAHR(14),BULANDSHAHR,Uttar Pradesh,DR BHOLA SINGH,597310,275134,S2414,369
1,BULDHANA(5),BULDHANA,Maharashtra,JADHAV PRATAPRAO GANPATRAO,349867,29479,S135,3529
2,BUXAR(33),BUXAR,Bihar,SUDHAKAR SINGH,438345,30091,S0433,1420
29,CHALAKUDY(11),CHALAKUDY,Kerala,BENNY BEHANAN,394171,63754,S1111,742
22,CHAMARAJANAGAR(22),CHAMARAJANAGAR,Karnataka,SUNIL BOSE,751671,188706,S1022,742
36,CHANDAULI(76),CHANDAULI,Uttar Pradesh,BIRENDRA SINGH,474476,21565,S2476,1680
97,CHANDIGARH(1),CHANDIGARH,Chandigarh,MANISH TEWARI,216657,2504,U021,742
232,CHANDNICHOWK(1),CHANDNICHOWK,NCT OF Delhi,PRAVEEN KHANDELWAL,516496,89325,U051,369
43,CHANDRAPUR(13),CHANDRAPUR,Maharashtra,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406,S1313,742
210,CHATRA(4),CHATRA,Jharkhand,KALI CHARAN SINGH,574556,220959,S274,369
3,CHENNAICENTRAL(4),CHENNAICENTRAL,Tamil Nadu,DAYANIDHI MARAN,413848,244689,S224,582
1,CHENNAINORTH(2),CHENNAINORTH,Tamil Nadu,DR.KALANIDHI VEERASWAMY,497333,339222,S222,582
2,CHENNAISOUTH(3),CHENNAISOUTH,Tamil Nadu,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945,S223,582
228,CHEVELLA(10),CHEVELLA,Telangana,KONDA VISHWESHWAR REDDY,809882,172897,S2910,369
95,CHHINDWARA(16),CHHINDWARA,Madhya Pradesh,BUNTY VIVEK SAHU,644738,113618,S1216,369
47,CHHOTAUDAIPUR(21),CHHOTAUDAIPUR,Gujarat,JASHUBHAI BHILUBHAI RATHVA,796589,398777,S0621,369
2,CHIDAMBARAM(27),CHIDAMBARAM,Tamil Nadu,THIRUMAAVALAVAN THOL,505084,103554,S2227,1847
78,CHIKKBALLAPUR(27),CHIKKBALLAPUR,Karnataka,DR.K.SUDHAKAR,822619,163460,S1027,369
14,CHIKKODI(1),CHIKKODI,Karnataka,PRIYANKA SATISH JARKIHOLI,713461,90834,S101,742
71,CHITRADURGA(18),CHITRADURGA,Karnataka,GOVIND MAKTHAPPA KARJOL,684890,48121,S1018,369
16,CHITTOOR(SC)(25),CHITTOOR(SC),Andhra Pradesh,DAGGUMALLA PRASADA RAO,778071,220479,S0125,1745
147,CHITTORGARH(21),CHITTORGARH,Rajasthan,CHANDRA PRAKASH JOSHI,888202,389877,S2021,369
63,CHURU(3),CHURU,Rajasthan,RAHUL KASWAN,728211,72737,S203,742
16,COIMBATORE(20),COIMBATORE,Tamil Nadu,GANAPATHY RAJKUMAR P,568200,118068,S2220,582
1,COOCHBEHAR(1),COOCHBEHAR,West Bengal,JAGADISH CHANDRA BARMA BASUNIA,788375,39250,S251,140
73,CUDDALORE(26),CUDDALORE,Tamil Nadu,M.K. VISHNUPRASAD,455053,185896,S2226,742
131,CUTTACK(14),CUTTACK,Odisha,BHARTRUHARI MAHTAB,531601,57077,S1814,369
231,DADAR&NAGARHAVELI(2),DADAR&NAGARHAVELI,Dadra & Nagar Haveli and Daman & Diu,DELKAR KALABEN MOHANBHAI,121074,57584,U032,369
45,DAHOD(19),DAHOD,Gujarat,JASWANTSINH SUMANBHAI BHABHOR,688715,333677,S0619,369
70,DAKSHINAKANNADA(17),DAKSHINAKANNADA,Karnataka,CAPTAIN BRIJESH CHOWTA,764132,149208,S1017,369
5,DAMAN&DIU(1),DAMAN&DIU,Dadra & Nagar Haveli and Daman & Diu,PATEL UMESHBHAI BABUBHAI,42523,6225,U031,743
86,DAMOH(7),DAMOH,Madhya Pradesh,RAHUL SINGH LODHI,709768,406426,S127,369
19,DARBHANGA(14),DARBHANGA,Bihar,GOPAL JEE THAKUR,566630,178156,S0414,369
189,DARJEELING(4),DARJEELING,West Bengal,RAJU BISTA,679331,178525,S254,369
6,DARRANG-UDALGURI(4),DARRANG-UDALGURI,Assam,DILIP SAIKIA,868387,329012,S034,369
67,DAUSA(11),DAUSA,Rajasthan,MURARI LAL MEENA,646266,237340,S2011,742
20,DAVANAGERE(13),DAVANAGERE,Karnataka,DR. PRABHA MALLIKARJUN,633059,26094,S1013,742
183,DEORIA(66),DEORIA,Uttar Pradesh,SHASHANK MANI,504541,34842,S2466,369
100,DEWAS(21),DEWAS,Madhya Pradesh,MAHENDRA SINGH SOLANKY,928941,425225,S1221,369
212,DHANBAD(7),DHANBAD,Jharkhand,DULU MAHATO,789172,331583,S277,369
104,DHAR(25),DHAR,Madhya Pradesh,SAVITRI THAKUR,794449,218665,S1225,369
8,DHARMAPURI(10),DHARMAPURI,Tamil Nadu,MANI. A.,432667,21300,S2210,582
66,DHARWAD(11),DHARWAD,Karnataka,PRALHAD JOSHI,716231,97324,S1011,369
12,DHAURAHRA(29),DHAURAHRA,Uttar Pradesh,ANAND BHADAURIYA,443743,4449,S2429,1680
126,DHENKANAL(9),DHENKANAL,Odisha,RUDRA NARAYAN PANY,598721,76567,S189,369
1,DHUBRI(2),DHUBRI,Assam,RAKIBUL HUSSAIN,1471885,1012476,S032,742
38,DHULE(2),DHULE,Maharashtra,BACHHAV SHOBHA DINESH,583866,3831,S132,742
12,DIAMONDHARBOUR(21),DIAMONDHARBOUR,West Bengal,ABHISHEK BANERJEE,1048230,710930,S2521,140
14,DIBRUGARH(13),DIBRUGARH,Assam,SARBANANDA SONOWAL,693762,279321,S0313,369
3,DINDIGUL(22),DINDIGUL,Tamil Nadu,SACHITHANANTHAM R,670149,443821,S2222,547
2,DINDORI(20),DINDORI,Maharashtra,BHASKAR MURLIDHAR BHAGARE,577339,113199,S1320,3620
8,DIPHU(6),DIPHU,Assam,AMARSING TISSO,334620,147603,S036,369
179,DOMARIYAGANJ(60),DOMARIYAGANJ,Uttar Pradesh,JAGDAMBIKA PAL,463303,42728,S2460,369
7,DUMDUM(16),DUMDUM,West Bengal,SOUGATA RAY,528579,70660,S2516,140
2,DUMKA(2),DUMKA,Jharkhand,NALIN SOREN,547370,22527,S272,852
204,DURG(7),DURG,Chhattisgarh,VIJAY BAGHEL,956497,438226,S267,369
234,EASTDELHI(3),EASTDELHI,NCT OF Delhi,HARSH MALHOTRA,664819,93663,U053,369
5,ELURU(10),ELURU,Andhra Pradesh,PUTTA MAHESH KUMAR,746351,181857,S0110,1745
30,ERNAKULAM(12),ERNAKULAM,Kerala,HIBI EDEN,482317,250385,S1112,742
14,ERODE(17),ERODE,Tamil Nadu,K E PRAKASH,562339,236566,S2217,582
8,ETAH(22),ETAH,Uttar Pradesh,DEVESH SHAKYA,475808,28052,S2422,1680
16,ETAWAH(41),ETAWAH,Uttar Pradesh,JITENDRA KUMAR DOHARE,490747,58419,S2441,1680
23,FAIZABAD(54),FAIZABAD,Uttar Pradesh,AWADHESH PRASAD,554289,54567,S2454,1680
57,FARIDABAD(10),FARIDABAD,Haryana,KRISHAN PAL,788569,172914,S0710,369
4,FARIDKOT(9),FARIDKOT,Punjab,SARABJEET SINGH KHALSA,298062,70053,S199,743
171,FARRUKHABAD(40),FARRUKHABAD,Uttar Pradesh,MUKESH RAJPUT,487963,2678,S2440,369
59,FATEHGARHSAHIB(8),FATEHGARHSAHIB,Punjab,AMAR SINGH,332591,34202,S198,742
21,FATEHPUR(49),FATEHPUR,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,500328,33199,S2449,1680
163,FATEHPURSIKRI(19),FATEHPURSIKRI,Uttar Pradesh,RAJKUMAR CHAHAR,445657,43405,S2419,369
6,FIROZABAD(20),FIROZABAD,Uttar Pradesh,AKSHAYA YADAV,543037,89312,S2420,1680
60,FIROZPUR(10),FIROZPUR,Punjab,SHER SINGH GHUBAYA,266626,3242,S1910,742
42,GADCHIROLI-CHIMUR(12),GADCHIROLI-CHIMUR,Maharashtra,DR. KIRSAN NAMDEO,617792,141696,S1312,742
32,GANDHINAGAR(6),GANDHINAGAR,Gujarat,AMIT SHAH,1010972,744716,S066,369
62,GANGANAGAR(1),GANGANAGAR,Rajasthan,KULDEEP INDORA,726492,88153,S201,742
218,GARHWAL(2),GARHWAL,Uttarakhand,ANIL BALUNI,432159,163503,S282,369
157,GAUTAMBUDDHANAGAR(13),GAUTAMBUDDHANAGAR,Uttar Pradesh,DR. MAHESH SHARMA,857829,559472,S2413,369
1,GAYA(38),GAYA,Bihar,JITAN RAM MANJHI,494960,101812,S0438,664
21,GHATAL(32),GHATAL,West Bengal,ADHIKARI DEEPAK (DEV),837990,182868,S2532,140
156,GHAZIABAD(12),GHAZIABAD,Uttar Pradesh,ATUL GARG,854170,336965,S2412,369
35,GHAZIPUR(75),GHAZIPUR,Uttar Pradesh,AFZAL ANSARI,539912,124861,S2475,1680
30,GHOSI(70),GHOSI,Uttar Pradesh,RAJEEV RAI,503131,162943,S2470,1680
1,GIRIDIH(6),GIRIDIH,Jharkhand,CHANDRA PRAKASH CHOUDHARY,451139,80880,S276,160
209,GODDA(3),GODDA,Jharkhand,NISHIKANT DUBEY,693140,101813,S273,369
178,GONDA(59),GONDA,Uttar Pradesh,KIRTIVARDHAN SINGH,474258,46224,S2459,369
7,GOPALGANJ(17),GOPALGANJ,Bihar,DR. ALOK KUMAR SUMAN,511866,127180,S0417,805
181,GORAKHPUR(64),GORAKHPUR,Uttar Pradesh,RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526,S2464,369
15,GULBARGA(5),GULBARGA,Karnataka,RADHAKRISHNA,652321,27205,S105,742
83,GUNA(4),GUNA,Madhya Pradesh,JYOTIRADITYA M. SCINDIA,923302,540929,S124,369
7,GUNTUR(13),GUNTUR,Andhra Pradesh,DR CHANDRA SEKHAR PEMMASANI,864948,344695,S0113,1745
55,GURDASPUR(1),GURDASPUR,Punjab,SUKHJINDER SINGH RANDHAWA,364043,82861,S191,742
56,GURGAON(9),GURGAON,Haryana,RAO INDERJIT SINGH,808336,75079,S079,369
7,GUWAHATI(5),GUWAHATI,Assam,BIJULI KALITA MEDHI,894887,251090,S035,369
82,GWALIOR(3),GWALIOR,Madhya Pradesh,BHARAT SINGH KUSHWAH,671535,70210,S123,369
2,HAJIPUR(21),HAJIPUR,Bihar,CHIRAG PASWAN,615718,170105,S0421,3165
19,HAMIRPUR(47),HAMIRPUR,Uttar Pradesh,AJENDRA SINGH LODHI,490683,2629,S2447,1680
60,HAMIRPUR(3),HAMIRPUR,Uttar Pradesh,ANURAG SINGH THAKUR,607068,182357,S083,369
167,HARDOI(31),HARDOI,Uttar Pradesh,JAI PRAKASH,486798,27856,S2431,369
221,HARIDWAR(5),HARIDWAR,Uttarakhand,TRIVENDRA SINGH RAWAT,653808,164056,S285,369
21,HASSAN(16),HASSAN,Karnataka,SHREYAS. M. PATEL,672988,42649,S1016,742
160,HATHRAS(16),HATHRAS,Uttar Pradesh,ANOOP PRADHAN BALMIKI,554746,247318,S2416,369
7,HATKANANGALE(48),HATKANANGALE,Maharashtra,DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426,S1348,3529
65,HAVERI(10),HAVERI,Karnataka,BASAVARAJ BOMMAI,705538,43513,S1010,369
216,HAZARIBAGH(14),HAZARIBAGH,Jharkhand,MANISH JAISWAL,654613,276686,S2714,369
14,HINDUPUR(20),HINDUPUR,Andhra Pradesh,B K PARTHASARATHI,725534,132427,S0120,1745
2,HINGOLI(15),HINGOLI,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,492535,108602,S1315,3369
11,HISAR(4),HISAR,Haryana,JAI PARKASH (J P) S/O HARIKESH,570424,63381,S074,742
19,HOOGHLY(28),HOOGHLY,West Bengal,RACHNA BANERJEE,702744,76853,S2528,140
96,HOSHANGABAD(17),HOSHANGABAD,Madhya Pradesh,DARSHAN SINGH CHOUDHARY,812147,431696,S1217,369
1,HOSHIARPUR(5),HOSHIARPUR,Punjab,DR. RAJ KUMAR CHABBEWAL,303859,44111,S195,1
16,HOWRAH(25),HOWRAH,West Bengal,PRASUN BANERJEE,626493,169442,S2525,140
1,HYDERABAD(9),HYDERABAD,Telangana,ASADUDDIN OWAISI,661981,338087,S299,118
31,IDUKKI(13),IDUKKI,Kerala,ADV. DEAN KURIAKOSE,432372,133727,S1113,742
105,INDORE(26),INDORE,Madhya Pradesh,SHANKAR LALWANI,1226751,1175092,S1226,369
50,INNERMANIPUR(1),INNERMANIPUR,Manipur,ANGOMCHA BIMOL AKOIJAM,374017,109801,S141,742
92,JABALPUR(13),JABALPUR,Madhya Pradesh,ASHISH DUBEY,790133,486674,S1213,369
13,JADAVPUR(22),JADAVPUR,West Bengal,SAYANI GHOSH,717899,258201,S2522,140
133,JAGATSINGHPUR(16),JAGATSINGHPUR,Odisha,BIBHU PRASAD TARAI,589093,40696,S1816,369
3,JAHANABAD(36),JAHANABAD,Bihar,SURENDRA PRASAD YADAV,443035,142591,S0436,1420
140,JAIPUR(7),JAIPUR,Rajasthan,MANJU SHARMA,886850,331767,S207,369
139,JAIPURRURAL(6),JAIPURRURAL,Rajasthan,RAO RAJENDRA SINGH,617877,1615,S206,369
125,JAJPUR(8),JAJPUR,Odisha,RABINDRA NARAYAN BEHERA,534239,1587,S188,369
57,JALANDHAR(4),JALANDHAR,Punjab,CHARANJIT SINGH CHANNI,390053,175993,S194,742
18,JALAUN(45),JALAUN,Uttar Pradesh,NARAYAN DAS AHIRWAR,530180,53898,S2445,1680
109,JALGAON(3),JALGAON,Maharashtra,SMITA UDAY WAGH,674428,251594,S133,369
45,JALNA(18),JALNA,Maharashtra,KALYAN VAIJINATHRAO KALE,607897,109958,S1318,742
145,JALORE(18),JALORE,Rajasthan,LUMBARAM,796783,201543,S2018,369
188,JALPAIGURI(3),JALPAIGURI,West Bengal,DR JAYANTA KUMAR ROY,766568,86693,S253,369
240,JAMMU(5),JAMMU,Jammu and Kashmir,JUGAL KISHORE,687588,135498,U085,369
38,JAMNAGAR(12),JAMNAGAR,Gujarat,POONAMBEN HEMATBHAI MAADAM,620049,238008,S0612,369
214,JAMSHEDPUR(9),JAMSHEDPUR,Jharkhand,BIDYUT BARAN MAHATO,726174,259782,S279,369
5,JAMUI(40),JAMUI,Bihar,ARUN BHARTI,509046,112482,S0440,3165
2,JANGIPUR(9),JANGIPUR,West Bengal,KHALILUR RAHAMAN,544427,116637,S259,140
201,JANJGIR-CHAMPA(3),JANJGIR-CHAMPA,Chhattisgarh,KAMLESH JANGDE,678199,60000,S263,369
33,JAUNPUR(73),JAUNPUR,Uttar Pradesh,BABU SINGH KUSHWAHA,509130,99335,S2473,1680
151,JHALAWAR-BARAN(25),JHALAWAR-BARAN,Rajasthan,DUSHYANT SINGH,865376,370989,S2025,369
4,JHANJHARPUR(7),JHANJHARPUR,Bihar,RAMPRIT MANDAL,533032,184169,S047,805
174,JHANSI(46),JHANSI,Uttar Pradesh,ANURAG SHARMA,690316,102614,S2446,369
22,JHARGRAM(33),JHARGRAM,West Bengal,KALIPADA SAREN (KHERWAL),743478,174048,S2533,140
64,JHUNJHUNU(4),JHUNJHUNU,Rajasthan,BRIJENDRA SINGH OLA,553168,18235,S204,742
144,JODHPUR(16),JODHPUR,Rajasthan,GAJENDRA SINGH SHEKHAWAT,730056,115677,S2016,369
3,JORHAT(14),JORHAT,Assam,GAURAV GOGOI,751771,144393,S0314,742
10,JOYNAGAR(19),JOYNAGAR,West Bengal,PRATIMA MONDAL,894312,470219,S2519,140
39,JUNAGADH(13),JUNAGADH,Gujarat,CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494,S0613,369
28,KACHCHH(1),KACHCHH,Gujarat,CHAVDA VINOD LAKHAMSHI,659574,268782,S061,369
